seq;vac_seq;dist;CC;CC_number
4;6620;2045;CC45;45
4;6701;5463;CC45;45
4;6720;1293;CC45;45
4;13640;3554;CC45;45
22;6620;2167;CC257;257
22;6701;5414;CC257;257
22;6720;4077;CC257;257
22;13640;2435;CC257;257
39;6620;2926;CC45;45
39;6701;4902;CC45;45
39;6720;2352;CC45;45
39;13640;4470;CC45;45
40;6620;1226;CC21;21
40;6701;4120;CC21;21
40;6720;2974;CC21;21
40;13640;2626;CC21;21
45;6620;3591;CC45;45
45;6701;5290;CC45;45
45;6720;3337;CC45;45
45;13640;5117;CC45;45
54;6620;2217;CC283;283
54;6701;5729;CC283;283
54;6720;1573;CC283;283
54;13640;3817;CC283;283
57;6620;1649;CC45;45
57;6701;5197;CC45;45
57;6720;1016;CC45;45
57;13640;3253;CC45;45
63;6620;2516;CC21;21
63;6701;5374;CC21;21
63;6720;3251;CC21;21
63;13640;4049;CC21;21
64;6620;1503;CC661;661
64;6701;4948;CC661;661
64;6720;736;CC661;661
64;13640;3027;CC661;661
65;6620;188;CC21;21
65;6701;4677;CC21;21
65;6720;1975;CC21;21
65;13640;1848;CC21;21
66;6620;226;CC353;353
66;6701;4709;CC353;353
66;6720;1986;CC353;353
66;13640;1865;CC353;353
67;6620;661;CC354;354
67;6701;5117;CC354;354
67;6720;2352;CC354;354
67;13640;2154;CC354;354
68;6620;1816;CC573;573
68;6701;5364;CC573;573
68;6720;631;CC573;573
68;13640;3234;CC573;573
69;6620;2382;CC661;661
69;6701;5817;CC661;661
69;6720;1614;CC661;661
69;13640;2232;CC661;661
70;6620;2014;CC45;45
70;6701;5485;CC45;45
70;6720;1304;CC45;45
70;13640;3563;CC45;45
71;6620;1790;CC21;21
71;6701;5247;CC21;21
71;6720;1147;CC21;21
71;13640;3277;CC21;21
72;6620;609;CC21;21
72;6701;5057;CC21;21
72;6720;2322;CC21;21
72;13640;2137;CC21;21
73;6620;1076;CC21;21
73;6701;3989;CC21;21
73;6720;2855;CC21;21
73;13640;2723;CC21;21
74;6620;189;CC21;21
74;6701;4696;CC21;21
74;6720;1980;CC21;21
74;13640;1855;CC21;21
75;6620;241;CC21;21
75;6701;4700;CC21;21
75;6720;2003;CC21;21
75;13640;1889;CC21;21
77;6620;314;CC21;21
77;6701;4772;CC21;21
77;6720;2051;CC21;21
77;13640;1762;CC21;21
78;6620;314;CC21;21
78;6701;4772;CC21;21
78;6720;2051;CC21;21
78;13640;1762;CC21;21
79;6620;2107;CC45;45
79;6701;5559;CC45;45
79;6720;1413;CC45;45
79;13640;3652;CC45;45
80;6620;37;CC257;257
80;6701;4795;CC257;257
80;6720;2055;CC257;257
80;13640;1924;CC257;257
81;6620;1728;CC45;45
81;6701;5263;CC45;45
81;6720;1113;CC45;45
81;13640;3197;CC45;45
82;6620;2026;CC45;45
82;6701;5491;CC45;45
82;6720;1318;CC45;45
82;13640;3575;CC45;45
83;6620;2374;CC354;354
83;6701;6393;CC354;354
83;6720;3897;CC354;354
83;13640;2034;CC354;354
84;6620;2435;CC45;45
84;6701;5904;CC45;45
84;6720;1800;CC45;45
84;13640;3963;CC45;45
105;6620;37;CC257;257
105;6701;4795;CC257;257
105;6720;2055;CC257;257
105;13640;1924;CC257;257
106;6620;632;CC443;443
106;6701;5088;CC443;443
106;6720;2285;CC443;443
106;13640;2096;CC443;443
107;6620;1727;CC573;573
107;6701;5285;CC573;573
107;6720;568;CC573;573
107;13640;3271;CC573;573
108;6620;1489;CC574;574
108;6701;4398;CC574;574
108;6720;3175;CC574;574
108;13640;3122;CC574;574
109;6620;1500;CC661;661
109;6701;4956;CC661;661
109;6720;738;CC661;661
109;13640;3025;CC661;661
110;6620;198;CC21;21
110;6701;4687;CC21;21
110;6720;1984;CC21;21
110;13640;1858;CC21;21
111;6620;2169;CC45;45
111;6701;5636;CC45;45
111;6720;1494;CC45;45
111;13640;3602;CC45;45
112;6620;2027;CC45;45
112;6701;5492;CC45;45
112;6720;1319;CC45;45
112;13640;3576;CC45;45
113;6620;208;CC21;21
113;6701;4685;CC21;21
113;6720;1969;CC21;21
113;13640;1874;CC21;21
114;6620;2474;CC45;45
114;6701;4528;CC45;45
114;6720;1982;CC45;45
114;13640;4056;CC45;45
173;6620;437;CC353;353
173;6701;4784;CC353;353
173;6720;2173;CC353;353
173;13640;1850;CC353;353
174;6620;2351;CC677;677
174;6701;5586;CC677;677
174;6720;2008;CC677;677
174;13640;3876;CC677;677
175;6620;1065;CC48;48
175;6701;3966;CC48;48
175;6720;2845;CC48;48
175;13640;2722;CC48;48
176;6620;688;CC353;353
176;6701;5189;CC353;353
176;6720;1789;CC353;353
176;13640;2151;CC353;353
177;6620;302;CC446;446
177;6701;4780;CC446;446
177;6720;2037;CC446;446
177;13640;1747;CC446;446
178;6620;1504;CC206;206
178;6701;4372;CC206;206
178;6720;3175;CC206;206
178;13640;3012;CC206;206
180;6620;1609;CC353;353
180;6701;5900;CC353;353
180;6720;2062;CC353;353
180;13640;2811;CC353;353
181;6620;1547;CC45;45
181;6701;5022;CC45;45
181;6720;880;CC45;45
181;13640;2971;CC45;45
183;6620;1082;CC48;48
183;6701;4014;CC48;48
183;6720;2839;CC48;48
183;13640;2728;CC48;48
187;6620;455;CC353;353
187;6701;4594;CC353;353
187;6720;2220;CC353;353
187;13640;1618;CC353;353
201;6620;467;CC353;353
201;6701;4585;CC353;353
201;6720;2227;CC353;353
201;13640;1608;CC353;353
203;6620;613;CC21;21
203;6701;5054;CC21;21
203;6720;2320;CC21;21
203;13640;2139;CC21;21
204;6620;212;CC353;353
204;6701;4687;CC353;353
204;6720;1981;CC353;353
204;13640;1865;CC353;353
213;6620;597;CC464;464
213;6701;5088;CC464;464
213;6720;2347;CC464;464
213;13640;2230;CC464;464
252;6620;1666;CC283;283
252;6701;5187;CC283;283
252;6720;1040;CC283;283
252;13640;3249;CC283;283
278;6620;3715;CC661;661
278;6701;6796;CC661;661
278;6720;3103;CC661;661
278;13640;3485;CC661;661
280;6620;4924;CC353;353
280;6701;7515;CC353;353
280;6720;4838;CC353;353
280;13640;4291;CC353;353
281;6620;2312;CC574;574
281;6701;5180;CC574;574
281;6720;3077;CC574;574
281;13640;3790;CC574;574
283;6620;1908;CC48;48
283;6701;4690;CC48;48
283;6720;3127;CC48;48
283;13640;3553;CC48;48
285;6620;429;CC353;353
285;6701;4991;CC353;353
285;6720;2217;CC353;353
285;13640;2105;CC353;353
286;6620;37;CC257;257
286;6701;4795;CC257;257
286;6720;2055;CC257;257
286;13640;1924;CC257;257
288;6620;3014;CC45;45
288;6701;4933;CC45;45
288;6720;2336;CC45;45
288;13640;4383;CC45;45
290;6620;1071;CC21;21
290;6701;3978;CC21;21
290;6720;2851;CC21;21
290;13640;2730;CC21;21
291;6620;13646;CC21;21
291;6701;12111;CC21;21
291;6720;12330;CC21;21
291;13640;12136;CC21;21
293;6620;14403;CC433;433
293;6701;12724;CC433;433
293;6720;13120;CC433;433
293;13640;12918;CC433;433
295;6620;6494;CC353;353
295;6701;8506;CC353;353
295;6720;7262;CC353;353
295;13640;5476;CC353;353
298;6620;11137;CC433;433
298;6701;10422;CC433;433
298;6720;10257;CC433;433
298;13640;10127;CC433;433
299;6620;36;CC257;257
299;6701;4794;CC257;257
299;6720;2054;CC257;257
