vac_seq;seq;pop;diff;CC;CC_number
6620;6591;pre-vac;199;CC206;206
6620;6592;pre-vac;1468;CC206;206
6620;6593;pre-vac;199;CC206;206
6620;6594;pre-vac;9094;CC206;206
6620;6596;pre-vac;199;CC206;206
6620;6597;pre-vac;3429;CC206;206
6620;6598;pre-vac;5461;CC206;206
6620;6599;pre-vac;414;CC206;206
6620;6601;pre-vac;3716;CC206;206
6620;6604;pre-vac;1070;CC206;206
6620;6605;pre-vac;2283;CC206;206
6620;6606;pre-vac;11485;CC206;206
6620;6607;pre-vac;199;CC206;206
6620;6608;pre-vac;1398;CC206;206
6620;6610;pre-vac;2165;CC206;206
6620;6611;pre-vac;8445;CC206;206
6620;6613;pre-vac;302;CC206;206
6620;6694;pre-vac;199;CC206;206
6620;6695;pre-vac;199;CC206;206
6620;6696;pre-vac;455;CC206;206
6620;6697;pre-vac;5995;CC206;206
6620;6698;pre-vac;199;CC206;206
6620;6699;pre-vac;8301;CC206;206
6620;6700;pre-vac;885;CC206;206
6620;6701;pre-vac;2708;CC206;206
6620;6702;pre-vac;1756;CC206;206
6620;6703;pre-vac;3236;CC206;206
6620;6704;pre-vac;199;CC206;206
6620;6705;pre-vac;329;CC206;206
6620;6706;pre-vac;442;CC206;206
6620;6707;pre-vac;199;CC206;206
6620;6708;pre-vac;4533;CC206;206
6620;6709;pre-vac;199;CC206;206
6620;6710;pre-vac;199;CC206;206
6620;6711;pre-vac;199;CC206;206
6620;6712;pre-vac;11092;CC206;206
6620;6713;pre-vac;3725;CC206;206
6620;6714;pre-vac;10648;CC206;206
6620;6715;pre-vac;12474;CC206;206
6620;6716;pre-vac;1926;CC206;206
6620;6726;pre-vac;2466;CC206;206
6620;6727;pre-vac;199;CC206;206
6620;6728;pre-vac;199;CC206;206
6620;6729;pre-vac;199;CC206;206
6620;6616;pre-vac;0;CC257;257
6620;6617;pre-vac;619;CC257;257
6620;6618;pre-vac;0;CC257;257
6620;6619;pre-vac;0;CC257;257
6620;6620;pre-vac;0;CC257;257
6620;6621;pre-vac;6400;CC257;257
6620;6624;pre-vac;0;CC257;257
6620;6627;pre-vac;485;CC257;257
6620;6628;pre-vac;6090;CC257;257
6620;6629;pre-vac;130;CC257;257
6620;6630;pre-vac;0;CC257;257
6620;6631;pre-vac;698;CC257;257
6620;6632;pre-vac;5890;CC257;257
6620;6634;pre-vac;698;CC257;257
6620;6635;pre-vac;3678;CC257;257
6620;6636;pre-vac;698;CC257;257
6620;6637;pre-vac;3742;CC257;257
6620;6638;pre-vac;0;CC257;257
6620;6639;pre-vac;0;CC257;257
6620;6640;pre-vac;0;CC257;257
6620;6642;pre-vac;426;CC257;257
6620;6645;pre-vac;0;CC257;257
6620;6646;pre-vac;11712;CC257;257
6620;6647;pre-vac;0;CC257;257
6620;6648;pre-vac;0;CC257;257
6620;6649;pre-vac;0;CC257;257
6620;6650;pre-vac;0;CC257;257
6620;6652;pre-vac;10362;CC257;257
6620;6653;pre-vac;0;CC257;257
6620;6654;pre-vac;0;CC257;257
6620;6655;pre-vac;221;CC257;257
6620;6656;pre-vac;0;CC257;257
6620;6657;pre-vac;0;CC257;257
6620;6658;pre-vac;0;CC257;257
6620;6659;pre-vac;0;CC257;257
6620;6660;pre-vac;0;CC257;257
6620;6661;pre-vac;12374;CC257;257
6620;6662;pre-vac;3889;CC257;257
6620;6663;pre-vac;0;CC257;257
6620;6664;pre-vac;0;CC257;257
6620;6665;pre-vac;0;CC257;257
6620;6666;pre-vac;2872;CC257;257
6620;6667;pre-vac;11676;CC257;257
6620;6668;pre-vac;0;CC257;257
6620;6669;pre-vac;1226;CC257;257
6620;6670;pre-vac;0;CC257;257
6620;6671;pre-vac;0;CC257;257
6620;6672;pre-vac;6604;CC257;257
6620;6674;pre-vac;8999;CC257;257
6620;6675;pre-vac;0;CC257;257
6620;6717;pre-vac;501;CC257;257
6620;6718;pre-vac;5319;CC257;257
6620;6719;pre-vac;5071;CC257;257
6620;10462;post-vac;10606;CC257;257
6620;6614;pre-vac;411;CC443;443
6620;6622;pre-vac;1337;CC443;443
6620;6623;pre-vac;11881;CC443;443
6620;6625;pre-vac;2304;CC443;443
6620;6626;pre-vac;411;CC443;443
6620;6633;pre-vac;9192;CC443;443
6620;6643;pre-vac;411;CC443;443
6620;6644;pre-vac;411;CC443;443
6620;6677;pre-vac;411;CC443;443
6620;6679;pre-vac;411;CC443;443
6620;6680;pre-vac;411;CC443;443
6620;6681;pre-vac;411;CC443;443
6620;6682;pre-vac;541;CC443;443
6620;6683;pre-vac;1421;CC443;443
6620;6684;pre-vac;411;CC443;443
6620;6685;pre-vac;1685;CC443;443
6620;6686;pre-vac;7286;CC443;443
6620;6687;pre-vac;1553;CC443;443
6620;6688;pre-vac;411;CC443;443
6620;6690;pre-vac;9138;CC443;443
6620;6691;pre-vac;1551;CC443;443
6620;6692;pre-vac;5560;CC443;443
6620;6693;pre-vac;2189;CC443;443
6620;6722;pre-vac;2148;CC443;443
6620;6723;pre-vac;3232;CC443;443
6620;10471;post-vac;3568;CC443;443
6620;10472;post-vac;1393;CC443;443
6620;13640;pre-vac;2632;CC443;443
6620;6595;pre-vac;1194;ST-4430;4430
6620;6600;pre-vac;1194;ST-4430;4430
6620;6602;pre-vac;1194;ST-4430;4430
6620;6603;pre-vac;1194;ST-4430;4430
6620;6612;pre-vac;5031;ST-4430;4430
6620;6615;pre-vac;1194;ST-4430;4430
6620;6641;pre-vac;11415;ST-4430;4430
6620;6651;pre-vac;1610;ST-4430;4430
6620;6678;pre-vac;4548;ST-4430;4430
6620;6720;pre-vac;1438;ST-4430;4430
6620;6721;pre-vac;1194;ST-4430;4430
6620;6724;pre-vac;1682;ST-4430;4430
6620;6725;pre-vac;1194;ST-4430;4430
